_GA1;20160503 08:00;FRA;ROU;Group A;Group A - Match 1;1
_GA2;20160503 08:30;ALB;CHE;Group A;Group A - Match 2;1
_GA3;20160503 09:00;ROU;CHE;Group A;Group A - Match 3;1
_GA4;20160503 09:30;FRA;ALB;Group A;Group A - Match 4;1
_GA5;20160503 10:00;ROU;ALB;Group A;Group A - Match 5;1
_GA6;20160503 10:30;CHE;FRA;Group A;Group A - Match 6;1
_GB1;20160503 11:00;WAL;SVK;Group B;Group B - Match 1;1
_GB2;20160503 11:30;ENG;RUS;Group B;Group B - Match 2;1
_GB3;20160503 12:00;RUS;SVK;Group B;Group B - Match 3;1
_GB4;20160503 12:30;ENG;WAL;Group B;Group B - Match 4;1
_GB5;20160503 13:00;RUS;WAL;Group B;Group B - Match 5;2
_GB6;20160503 13:30;SVK;ENG;Group B;Group B - Match 6;2
